Book Name,predicted_age_category,confidence,llm_prediction,llm_confidence,ml_prediction,ml_confidence,probability_distribution,num_chunks_processed,vote_distribution
-سيرة مدينة عمان في الأربعينيات,١٣-١٨,0.9023,١٣-١٨,0.9947,١٣-١٨,0.8091,"{'٣-٨': 0.0031, '٩-١٢': 0.0155, '١٣-١٨': 0.9023, '١٨-٢١': 0.0322, '٢١+': 0.0469}",187,"{'١٣-١٨': 186, '٩-١٢': 1}"
2 الجريمة والعقاب,١٨-٢١,0.9721,١٨-٢١,1.0,١٨-٢١,0.9443,"{'٣-٨': 0.0007, '٩-١٢': 0.0075, '١٣-١٨': 0.0049, '١٨-٢١': 0.9721, '٢١+': 0.0148}",274,{'١٨-٢١': 274}
arabicpdfs.com-عَلَاءُ-الدِّينِ,٩-١٢,0.962,٩-١٢,1.0,٩-١٢,0.925,"{'٣-٨': 0.0068, '٩-١٢': 0.962, '١٣-١٨': 0.0153, '١٨-٢١': 0.0115, '٢١+': 0.0044}",25,{'٩-١٢': 25}
أبو الحسن,٩-١٢,0.9198,٩-١٢,1.0,٩-١٢,0.8402,"{'٣-٨': 0.0029, '٩-١٢': 0.9198, '١٣-١٨': 0.0386, '١٨-٢١': 0.0322, '٢١+': 0.0065}",55,{'٩-١٢': 55}
أبو الحسن1,٩-١٢,0.4988,٩-١٢,0.8158,١٣-١٨,0.5835,"{'٣-٨': 0.0117, '٩-١٢': 0.4988, '١٣-١٨': 0.3068, '١٨-٢١': 0.0647, '٢١+': 0.118}",76,"{'١٨-٢١': 2, '٩-١٢': 62, '٢١+': 9, '١٣-١٨': 3}"
أرض السواد,١٨-٢١,0.5819,١٨-٢١,0.8346,٢١+,0.6024,"{'٣-٨': 0.0027, '٩-١٢': 0.06, '١٣-١٨': 0.0541, '١٨-٢١': 0.5819, '٢١+': 0.3013}",768,"{'١٨-٢١': 641, '١٣-١٨': 66, '٩-١٢': 61}"
أسطورة سيزيف,٢١+,0.4902,٢١+,0.8977,١٣-١٨,0.6399,"{'٣-٨': 0.0086, '٩-١٢': 0.0416, '١٣-١٨': 0.32, '١٨-٢١': 0.1396, '٢١+': 0.4902}",88,"{'٢١+': 79, '١٨-٢١': 8, '٩-١٢': 1}"
أليس في بلاد العجائب,٩-١٢,0.9402,٩-١٢,1.0,٩-١٢,0.8806,"{'٣-٨': 0.0014, '٩-١٢': 0.9402, '١٣-١٨': 0.0301, '١٨-٢١': 0.0269, '٢١+': 0.0014}",61,{'٩-١٢': 61}
أنّا كارنينا 1 - ليو تولستوي_,٢١+,0.9296,٢١+,0.9923,٢١+,0.8674,"{'٣-٨': 0.0015, '٩-١٢': 0.0123, '١٣-١٨': 0.0082, '١٨-٢١': 0.0483, '٢١+': 0.9296}",389,"{'٢١+': 386, '١٨-٢١': 3}"
أنّا كارنينا 2 - ليو تولستوي_,٢١+,0.9163,٢١+,0.9907,٢١+,0.8405,"{'٣-٨': 0.0017, '٩-١٢': 0.0092, '١٣-١٨': 0.0089, '١٨-٢١': 0.0639, '٢١+': 0.9163}",322,"{'٢١+': 319, '١٨-٢١': 3}"
